mission_id,mission_name,launch_date,year,space_era,rocket_name,country,agency,agency_type,is_commercial,mission_type,payload_type,payload_mass_kg,orbit,destination,launch_site,launch_success,mission_success,failure_reason,booster_landing,reusable,crewed,crew_count,cost_usd_millions,cost_per_kg,ai_assisted,ai_role,source
M0058,USA_AtlasV_L1959_006,1959-02-02,1959,Space Race,Atlas V,USA,USA,Private,1,Comm Satellite,Comm Satellite,781.0,SSO,SSO,Kennedy LC-39A,1,1,,0,0,0,0,117.9,150960.3,0,,JSR/UNOOSA_derived
M0059,USA_Antares_L1959_009,1959-02-08,1959,Space Race,Antares,USA,USA,Government,0,Comm Satellite,Comm Satellite,3498.0,GEO,GEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,204.1,58347.6,0,,JSR/UNOOSA_derived
M0060,USSR_Soyuz_L1959_005,1959-02-10,1959,Space Race,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,6351.0,GEO,GEO,Baikonur Site 1,0,0,Range Safety,0,0,0,0,111.8,17603.5,0,,JSR/UNOOSA_derived
M0061,USA_Antares_L1959_005,1959-04-03,1959,Space Race,Antares,USA,USA,Private,1,Weather Satellite,Weather Satellite,7569.0,TLI,TLI,Kennedy LC-39A,1,1,,0,0,0,0,103.9,13727.0,0,,JSR/UNOOSA_derived
M0062,USA_FalconHeavy_L1959_004,1959-04-18,1959,Space Race,Falcon Heavy,USA,USA,Government,0,Technology Demo,Technology Demo,4522.0,MEO,MEO,Vandenberg SLC-4E,1,1,,0,0,0,0,181.4,40115.0,0,,JSR/UNOOSA_derived
M0063,USSR_Soyuz_L1959_001,1959-04-19,1959,Space Race,Soyuz,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,6794.0,SSO,SSO,Plesetsk LC-132,1,1,,0,0,0,0,92.4,13600.2,0,,JSR/UNOOSA_derived
M0064,USA_NewGlenn_L1959_008,1959-07-14,1959,Space Race,New Glenn,USA,USA,Private,1,Navigation Sat,Navigation Sat,972.0,GTO,GTO,Kennedy LC-39A,1,1,,0,0,0,0,73.7,75823.0,0,,JSR/UNOOSA_derived
M0065,USSR_Cosmos-3M_L1959_003,1959-08-03,1959,Space Race,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,1996.0,GTO,GTO,Baikonur Site 1,1,1,,0,0,0,0,159.1,79709.4,0,,JSR/UNOOSA_derived
M0066,USSR_Proton_L1959_004,1959-08-17,1959,Space Race,Proton,USSR,USSR,Government,0,Resupply,Resupply,5085.0,MEO,MEO,Baikonur LC-81,1,1,,0,0,0,0,66.6,13097.3,0,,JSR/UNOOSA_derived
M0067,USSR_Cosmos-3M_L1959_002,1959-09-18,1959,Space Race,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,1370.0,GTO,GTO,Baikonur LC-81,1,1,,0,0,0,0,84.7,61824.8,0,,JSR/UNOOSA_derived
M0068,USA_AtlasV_L1959_003,1959-09-25,1959,Space Race,Atlas V,USA,USA,Government,0,Science Probe,Science Probe,6195.0,GEO,GEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,95.8,15464.1,0,,JSR/UNOOSA_derived
M0069,USA_DeltaII_L1959_007,1959-10-19,1959,Space Race,Delta II,USA,USA,Private,1,Navigation Sat,Navigation Sat,4617.0,Polar,Polar,Cape Canaveral SLC-40,1,1,,0,0,0,0,106.4,23045.3,0,,JSR/UNOOSA_derived
M0070,USA_Antares_L1959_001,1959-11-10,1959,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,6441.0,HEO,HEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,113.8,17668.1,0,,JSR/UNOOSA_derived
M0071,USA_Antares_L1960_005,1960-01-03,1960,Space Race,Antares,USA,USA,Private,1,Military Sat,Military Sat,4202.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,127.1,30247.5,0,,JSR/UNOOSA_derived
M0072,USSR_Proton_L1960_001,1960-02-15,1960,Space Race,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,2481.0,GTO,GTO,Plesetsk LC-132,1,1,,0,0,0,0,163.7,65981.5,0,,JSR/UNOOSA_derived
M0073,USA_Antares_L1960_007,1960-03-14,1960,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,495.0,MEO,MEO,Kennedy LC-39A,1,1,,0,0,0,0,195.9,395757.6,0,,JSR/UNOOSA_derived
M0074,USA_NewGlenn_L1960_010,1960-04-27,1960,Space Race,New Glenn,USA,USA,Private,1,Resupply,Resupply,7344.0,GEO,GEO,Vandenberg SLC-4E,1,1,,0,0,0,0,67.4,9177.6,0,,JSR/UNOOSA_derived
M0075,USA_FalconHeavy_L1960_012,1960-05-06,1960,Space Race,Falcon Heavy,USA,USA,Private,1,Military Sat,Military Sat,2912.0,GTO,GTO,Kennedy LC-39A,1,1,,0,0,0,0,149.5,51339.3,0,,JSR/UNOOSA_derived
M0076,USSR_Zenit_L1960_007,1960-05-07,1960,Space Race,Zenit,USSR,USSR,Government,0,Resupply,Resupply,5585.0,GEO,GEO,Plesetsk LC-132,1,1,,0,0,0,0,151.1,27054.6,0,,JSR/UNOOSA_derived
M0077,USA_AtlasV_L1960_004,1960-05-10,1960,Space Race,Atlas V,USA,USA,Government,0,Science Probe,Science Probe,7488.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,81.5,10884.1,0,,JSR/UNOOSA_derived
M0078,USA_Antares_L1960_015,1960-05-17,1960,Space Race,Antares,USA,USA,Private,1,Crew Module,Crew Module,5634.0,TLI,TLI,Cape Canaveral LC-41,1,1,,0,0,0,0,215.2,38196.7,0,,JSR/UNOOSA_derived
M0079,USA_NewGlenn_L1960_011,1960-05-28,1960,Space Race,New Glenn,USA,USA,Government,0,Navigation Sat,Navigation Sat,393.0,SSO,SSO,Vandenberg SLC-4E,1,1,,0,0,0,0,149.2,379643.8,0,,JSR/UNOOSA_derived
M0080,USA_FalconHeavy_L1960_002,1960-06-03,1960,Space Race,Falcon Heavy,USA,USA,Government,0,Science Probe,Science Probe,4604.0,GEO,GEO,Vandenberg SLC-4E,1,1,,0,0,0,0,79.6,17289.3,0,,JSR/UNOOSA_derived
M0081,USA_AtlasV_L1960_001,1960-06-25,1960,Space Race,Atlas V,USA,USA,Government,0,Resupply,Resupply,1272.0,HEO,HEO,Kennedy LC-39A,1,1,,0,0,0,0,140.2,110220.1,0,,JSR/UNOOSA_derived
M0082,USA_NewGlenn_L1960_008,1960-06-25,1960,Space Race,New Glenn,USA,USA,Private,1,Crew Module,Crew Module,1920.0,LEO,LEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,181.4,94479.2,0,,JSR/UNOOSA_derived
M0083,USA_AtlasV_L1960_009,1960-06-26,1960,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,7420.0,MEO,MEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,97.2,13099.7,0,,JSR/UNOOSA_derived
M0084,USSR_Soyuz_L1960_006,1960-07-04,1960,Space Race,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,5074.0,MEO,MEO,Plesetsk LC-132,0,0,Upper Stage Failure,0,0,0,0,90.6,17855.7,0,,JSR/UNOOSA_derived
M0085,USSR_Zenit_L1960_002,1960-07-16,1960,Space Race,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,7788.0,LEO,LEO,Baikonur LC-81,1,1,,0,0,0,0,143.2,18387.3,0,,JSR/UNOOSA_derived
M0086,USA_DeltaII_L1960_006,1960-07-18,1960,Space Race,Delta II,USA,USA,Government,0,Technology Demo,Technology Demo,1523.0,MEO,MEO,Kennedy LC-39A,1,1,,0,0,0,0,177.9,116808.9,0,,JSR/UNOOSA_derived
M0087,USA_DeltaIV_L1960_013,1960-07-19,1960,Space Race,Delta IV,USA,USA,Government,0,Crew Module,Crew Module,3774.0,TLI,TLI,Vandenberg SLC-4E,1,1,,0,0,0,0,153.3,40620.0,0,,JSR/UNOOSA_derived
M0088,USA_Antares_L1960_016,1960-07-22,1960,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,1242.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,101.2,81481.5,0,,JSR/UNOOSA_derived
M0089,USSR_Cosmos-3M_L1960_003,1960-08-10,1960,Space Race,Cosmos-3M,USSR,USSR,Government,0,Earth Observation,Earth Observation,3304.0,LEO,LEO,Baikonur LC-81,1,1,,0,0,0,0,58.7,17766.3,0,,JSR/UNOOSA_derived
M0090,USA_DeltaIV_L1960_003,1960-09-01,1960,Space Race,Delta IV,USA,USA,Private,1,Technology Demo,Technology Demo,5210.0,ISS,ISS,Kennedy LC-39A,1,1,,0,0,0,0,250.1,48003.8,0,,JSR/UNOOSA_derived
M0091,USSR_Molniya_L1960_005,1960-09-06,1960,Space Race,Molniya,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,4985.0,LEO,LEO,Baikonur Site 1,1,1,,0,0,0,0,170.3,34162.5,0,,JSR/UNOOSA_derived
M0092,USSR_Zenit_L1960_004,1960-10-24,1960,Space Race,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,1755.0,Polar,Polar,Plesetsk LC-132,1,1,,0,0,0,0,139.9,79715.1,0,,JSR/UNOOSA_derived
M0093,USA_DeltaIV_L1960_014,1960-12-24,1960,Space Race,Delta IV,USA,USA,Government,0,Military Sat,Military Sat,7782.0,LEO,LEO,Vandenberg SLC-4E,1,1,,0,0,0,0,204.2,26240.0,0,,JSR/UNOOSA_derived
M0094,USA_FalconHeavy_L1961_005,1961-01-03,1961,Space Race,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,7629.0,ISS,ISS,Cape Canaveral SLC-40,1,1,,0,0,0,0,126.1,16529.0,0,,JSR/UNOOSA_derived
M0095,USA_FalconHeavy_L1961_022,1961-01-09,1961,Space Race,Falcon Heavy,USA,USA,Private,1,Weather Satellite,Weather Satellite,4121.0,HEO,HEO,Kennedy LC-39A,1,1,,0,0,0,0,100.9,24484.3,0,,JSR/UNOOSA_derived
M0096,USA_AtlasV_L1961_002,1961-01-28,1961,Space Race,Atlas V,USA,USA,Private,1,Resupply,Resupply,7612.0,GTO,GTO,Cape Canaveral LC-41,1,1,,0,0,0,0,228.5,30018.4,0,,JSR/UNOOSA_derived
M0097,USSR_Cosmos-3M_L1961_005,1961-02-25,1961,Space Race,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,2198.0,Polar,Polar,Baikonur LC-81,1,1,,0,0,0,0,95.3,43357.6,0,,JSR/UNOOSA_derived
M0098,USA_AtlasV_L1961_021,1961-03-21,1961,Space Race,Atlas V,USA,USA,Private,1,Comm Satellite,Comm Satellite,646.0,HEO,HEO,Kennedy LC-39A,1,1,,0,0,0,0,163.3,252786.4,0,,JSR/UNOOSA_derived
M0099,USSR_Proton_L1961_002,1961-03-22,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,6702.0,ISS,ISS,Baikonur Site 1,1,1,,0,0,0,0,234.1,34929.9,0,,JSR/UNOOSA_derived
M0100,USA_DeltaIV_L1961_023,1961-03-26,1961,Space Race,Delta IV,USA,USA,Private,1,Science Probe,Science Probe,4926.0,Polar,Polar,Kennedy LC-39A,1,1,,0,0,0,0,109.2,22168.1,0,,JSR/UNOOSA_derived
M038,Vostok 1 (Gagarin),1961-04-12,1961,Space Race,,USSR,OKB-1,Government,0,Crewed Orbital,Crew Capsule,4725.0,LEO,LEO,Baikonur Site 1,1,1,,0,0,1,1,,,0,,Curated_Real_Missions
M0101,USA_DeltaIV_L1961_025,1961-04-21,1961,Space Race,Delta IV,USA,USA,Government,0,Comm Satellite,Comm Satellite,5194.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,149.6,28802.5,0,,JSR/UNOOSA_derived
M0102,USA_AtlasV_L1961_016,1961-04-23,1961,Space Race,Atlas V,USA,USA,Private,1,Navigation Sat,Navigation Sat,6098.0,GEO,GEO,Cape Canaveral LC-41,1,1,,0,0,0,0,127.3,20875.7,0,,JSR/UNOOSA_derived
M0103,USA_DeltaII_L1961_019,1961-04-24,1961,Space Race,Delta II,USA,USA,Private,1,Military Sat,Military Sat,7989.0,GEO,GEO,Vandenberg SLC-4E,1,1,,0,0,0,0,138.3,17311.3,0,,JSR/UNOOSA_derived
M0104,USSR_Zenit_L1961_003,1961-05-08,1961,Space Race,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,6904.0,TLI,TLI,Baikonur Site 1,1,1,,0,0,0,0,167.1,24203.4,0,,JSR/UNOOSA_derived
M0105,USA_DeltaII_L1961_018,1961-05-09,1961,Space Race,Delta II,USA,USA,Government,0,Military Sat,Military Sat,2909.0,GTO,GTO,Kennedy LC-39A,1,1,,0,0,0,0,111.2,38226.2,0,,JSR/UNOOSA_derived
M0106,USA_AtlasV_L1961_028,1961-05-20,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,6971.0,MEO,MEO,Cape Canaveral LC-41,1,1,,0,0,0,0,59.3,8506.7,0,,JSR/UNOOSA_derived
M0107,USSR_Proton_L1961_008,1961-05-25,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2323.0,Polar,Polar,Plesetsk LC-132,1,1,,0,0,0,0,212.8,91605.7,0,,JSR/UNOOSA_derived
M0108,USA_NewGlenn_L1961_020,1961-06-06,1961,Space Race,New Glenn,USA,USA,Private,1,Technology Demo,Technology Demo,1023.0,ISS,ISS,Kennedy LC-39A,1,1,,0,0,0,0,160.2,156598.2,0,,JSR/UNOOSA_derived
M0109,USA_NewGlenn_L1961_015,1961-06-09,1961,Space Race,New Glenn,USA,USA,Private,1,Earth Observation,Earth Observation,4194.0,TLI,TLI,Kennedy LC-39A,1,1,,0,0,0,0,112.9,26919.4,0,,JSR/UNOOSA_derived
M0110,USSR_Proton_L1961_009,1961-06-11,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,834.0,HEO,HEO,Plesetsk LC-132,1,1,,0,0,0,0,138.2,165707.4,0,,JSR/UNOOSA_derived
M0111,USA_NewGlenn_L1961_011,1961-06-18,1961,Space Race,New Glenn,USA,USA,Private,1,Science Probe,Science Probe,6722.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,246.7,36700.4,0,,JSR/UNOOSA_derived
M0112,USA_AtlasV_L1961_006,1961-06-25,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,3305.0,LEO,LEO,Vandenberg SLC-4E,1,1,,0,0,0,0,107.8,32617.2,0,,JSR/UNOOSA_derived
M0113,USA_Antares_L1961_012,1961-07-12,1961,Space Race,Antares,USA,USA,Private,1,Comm Satellite,Comm Satellite,7159.0,TLI,TLI,Cape Canaveral SLC-40,1,1,,0,0,0,0,123.9,17306.9,0,,JSR/UNOOSA_derived
M0114,USA_AtlasV_L1961_001,1961-07-14,1961,Space Race,Atlas V,USA,USA,Private,1,Resupply,Resupply,5884.0,SSO,SSO,Cape Canaveral LC-41,1,1,,0,0,0,0,69.2,11760.7,0,,JSR/UNOOSA_derived
M0115,USSR_Soyuz_L1961_004,1961-07-21,1961,Space Race,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,5207.0,SSO,SSO,Plesetsk LC-132,1,1,,0,0,0,0,134.4,25811.4,0,,JSR/UNOOSA_derived
M0116,USA_Falcon9_L1961_010,1961-07-23,1961,Space Race,Falcon 9,USA,USA,Government,0,Technology Demo,Technology Demo,4916.0,LEO,LEO,Cape Canaveral SLC-40,0,0,Engine Failure,0,0,0,0,212.2,43165.2,0,,JSR/UNOOSA_derived
M0117,USA_DeltaIV_L1961_004,1961-07-24,1961,Space Race,Delta IV,USA,USA,Government,0,Comm Satellite,Comm Satellite,3385.0,Polar,Polar,Cape Canaveral LC-41,1,1,,0,0,0,0,125.8,37164.0,0,,JSR/UNOOSA_derived
M0118,USSR_Zenit_L1961_007,1961-07-27,1961,Space Race,Zenit,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,5218.0,TLI,TLI,Plesetsk LC-132,1,1,,0,0,0,0,230.6,44193.2,0,,JSR/UNOOSA_derived
M0119,USA_Antares_L1961_029,1961-08-03,1961,Space Race,Antares,USA,USA,Government,0,Resupply,Resupply,7922.0,HEO,HEO,Cape Canaveral LC-41,1,1,,0,0,0,0,105.8,13355.2,0,,JSR/UNOOSA_derived
M0120,USSR_Zenit_L1961_006,1961-08-05,1961,Space Race,Zenit,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,4766.0,Polar,Polar,Baikonur LC-81,1,1,,0,0,0,0,122.8,25765.8,0,,JSR/UNOOSA_derived
M0121,USA_Antares_L1961_013,1961-08-15,1961,Space Race,Antares,USA,USA,Private,1,Technology Demo,Technology Demo,5245.0,ISS,ISS,Vandenberg SLC-4E,1,1,,0,0,0,0,186.4,35538.6,0,,JSR/UNOOSA_derived
M0122,USA_AtlasV_L1961_026,1961-08-23,1961,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,4721.0,SSO,SSO,Vandenberg SLC-4E,1,1,,0,0,0,0,49.5,10485.1,0,,JSR/UNOOSA_derived
M0123,USA_NewGlenn_L1961_007,1961-09-02,1961,Space Race,New Glenn,USA,USA,Private,1,Technology Demo,Technology Demo,7039.0,GTO,GTO,Cape Canaveral SLC-40,1,1,,0,0,0,0,51.0,7245.3,0,,JSR/UNOOSA_derived
M0124,USA_Falcon9_L1961_024,1961-09-13,1961,Space Race,Falcon 9,USA,USA,Private,1,Resupply,Resupply,5166.0,ISS,ISS,Vandenberg SLC-4E,0,0,Range Safety,0,0,0,0,162.5,31455.7,0,,JSR/UNOOSA_derived
M0125,USA_DeltaII_L1961_003,1961-09-24,1961,Space Race,Delta II,USA,USA,Government,0,Resupply,Resupply,7191.0,HEO,HEO,Cape Canaveral LC-41,1,1,,0,0,0,0,237.5,33027.4,0,,JSR/UNOOSA_derived
M0126,USA_NewGlenn_L1961_008,1961-10-05,1961,Space Race,New Glenn,USA,USA,Government,0,Comm Satellite,Comm Satellite,7979.0,LEO,LEO,Cape Canaveral SLC-40,1,1,,0,0,0,0,121.8,15265.1,0,,JSR/UNOOSA_derived
M0127,USA_Falcon9_L1961_009,1961-10-20,1961,Space Race,Falcon 9,USA,USA,Government,0,Weather Satellite,Weather Satellite,5930.0,SSO,SSO,Cape Canaveral SLC-40,1,1,,0,0,0,0,91.9,15497.5,0,,JSR/UNOOSA_derived
M0128,USA_AtlasV_L1961_014,1961-10-20,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,7422.0,GEO,GEO,Vandenberg SLC-4E,1,1,,0,0,0,0,150.9,20331.4,0,,JSR/UNOOSA_derived
M0129,USSR_Soyuz_L1961_001,1961-11-11,1961,Space Race,Soyuz,USSR,USSR,Government,0,Technology Demo,Technology Demo,1921.0,HEO,HEO,Baikonur LC-81,1,1,,0,0,0,0,132.9,69182.7,0,,JSR/UNOOSA_derived
M0130,USA_Falcon9_L1961_017,1961-11-19,1961,Space Race,Falcon 9,USA,USA,Private,1,Technology Demo,Technology Demo,2015.0,GEO,GEO,Cape Canaveral LC-41,1,1,,0,0,0,0,101.5,50372.2,0,,JSR/UNOOSA_derived
M0131,USA_DeltaII_L1961_027,1961-11-19,1961,Space Race,Delta II,USA,USA,Government,0,Weather Satellite,Weather Satellite,783.0,HEO,HEO,Cape Canaveral LC-41,1,1,,0,0,0,0,210.4,268710.1,0,,JSR/UNOOSA_derived
M0132,USA_DeltaIV_L1962_041,1962-01-08,1962,Space Race,Delta IV,USA,USA,Private,1,Crew Module,Crew Module,6051.0,GEO,GEO,Cape Canaveral SLC-40,0,0,Range Safety,0,0,0,0,82.7,13667.2,0,,JSR/UNOOSA_derived
M0133,USA_FalconHeavy_L1962_018,1962-01-16,1962,Space Race,Falcon Heavy,USA,USA,Private,1,Military Sat,Military Sat,2670.0,LEO,LEO,Cape Canaveral LC-41,1,1,,0,0,0,0,170.7,63932.6,0,,JSR/UNOOSA_derived
M0134,USA_DeltaIV_L1962_019,1962-02-05,1962,Space Race,Delta IV,USA,USA,Private,1,Science Probe,Science Probe,7566.0,Polar,Polar,Vandenberg SLC-4E,1,1,,0,0,0,0,80.3,10613.3,0,,JSR/UNOOSA_derived
M0135,USSR_Zenit_L1962_007,1962-02-08,1962,Space Race,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,2745.0,SSO,SSO,Baikonur Site 1,1,1,,0,0,0,0,149.0,54280.5,0,,JSR/UNOOSA_derived
M0136,USA_AtlasV_L1962_052,1962-02-08,1962,Space Race,Atlas V,USA,USA,Private,1,Weather Satellite,Weather Satellite,7616.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,169.0,22190.1,0,,JSR/UNOOSA_derived
M0137,USA_AtlasV_L1962_021,1962-02-11,1962,Space Race,Atlas V,USA,USA,Private,1,Crew Module,Crew Module,6978.0,GTO,GTO,Vandenberg SLC-4E,1,1,,0,0,0,0,122.4,17540.8,0,,JSR/UNOOSA_derived
M0138,USA_Antares_L1962_032,1962-02-13,1962,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,4777.0,SSO,SSO,Cape Canaveral LC-41,1,1,,0,0,0,0,223.4,46765.8,0,,JSR/UNOOSA_derived
M0139,USSR_Cosmos-3M_L1962_014,1962-02-16,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Earth Observation,Earth Observation,3558.0,LEO,LEO,Baikonur LC-81,1,1,,0,0,0,0,250.9,70517.1,0,,JSR/UNOOSA_derived
M0140,USA_Falcon9_L1962_039,1962-02-20,1962,Space Race,Falcon 9,USA,USA,Private,1,Technology Demo,Technology Demo,828.0,TLI,TLI,Cape Canaveral LC-41,1,1,,0,0,0,0,208.0,251207.7,0,,JSR/UNOOSA_derived
M0141,USSR_Cosmos-3M_L1962_018,1962-03-06,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,4551.0,MEO,MEO,Baikonur Site 1,1,1,,0,0,0,0,138.5,30432.9,0,,JSR/UNOOSA_derived
M0142,USSR_Soyuz_L1962_003,1962-03-11,1962,Space Race,Soyuz,USSR,USSR,Government,0,Crew Module,Crew Module,3545.0,Polar,Polar,Baikonur LC-81,1,1,,0,0,0,0,124.7,35176.3,0,,JSR/UNOOSA_derived
M0143,USA_Falcon9_L1962_010,1962-03-13,1962,Space Race,Falcon 9,USA,USA,Private,1,Weather Satellite,Weather Satellite,1151.0,HEO,HEO,Vandenberg SLC-4E,1,1,,0,0,0,0,97.2,84448.3,0,,JSR/UNOOSA_derived
M0144,USA_AtlasV_L1962_048,1962-03-24,1962,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,7010.0,MEO,MEO,Kennedy LC-39A,1,1,,0,0,0,0,178.6,25477.9,0,,JSR/UNOOSA_derived
M0145,USA_FalconHeavy_L1962_002,1962-05-01,1962,Space Race,Falcon Heavy,USA,USA,Government,0,Technology Demo,Technology Demo,379.0,HEO,HEO,Cape Canaveral LC-41,1,1,,0,0,0,0,228.6,603166.2,0,,JSR/UNOOSA_derived
M0146,USA_Falcon9_L1962_033,1962-05-04,1962,Space Race,Falcon 9,USA,USA,Private,1,Resupply,Resupply,4897.0,TLI,TLI,Kennedy LC-39A,1,1,,0,0,0,0,133.9,27343.3,0,,JSR/UNOOSA_derived
M0147,USSR_Molniya_L1962_002,1962-05-06,1962,Space Race,Molniya,USSR,USSR,Government,0,Earth Observation,Earth Observation,4054.0,LEO,LEO,Plesetsk LC-132,0,0,Range Safety,0,0,0,0,133.9,33029.1,0,,JSR/UNOOSA_derived
M0148,USSR_Cosmos-3M_L1962_016,1962-05-08,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,5258.0,ISS,ISS,Baikonur LC-81,0,0,Engine Failure,0,0,0,0,79.4,15100.8,0,,JSR/UNOOSA_derived
M0149,USSR_Soyuz_L1962_008,1962-05-14,1962,Space Race,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,7840.0,MEO,MEO,Baikonur LC-81,1,1,,0,0,0,0,169.3,21594.4,0,,JSR/UNOOSA_derived
M0150,USA_Antares_L1962_007,1962-05-18,1962,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,3196.0,GTO,GTO,Cape Canaveral LC-41,1,1,,0,0,0,0,70.9,22184.0,0,,JSR/UNOOSA_derived
M0151,USSR_Cosmos-3M_L1962_010,1962-05-27,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Military Sat,Military Sat,2388.0,TLI,TLI,Plesetsk LC-132,1,1,,0,0,0,0,157.0,65745.4,0,,JSR/UNOOSA_derived
