Mission_ID,Mission_Name,year,Space_Era,Rocket,Country,Agency,Agency_Type,Commercial_Mission,Mission_Type,Payload_Type,Payload_Mass_kg,orbit,destination,Launch_Site,Launch_Success,Mission_Success,Failure_Reason,Booster_Landing,reusable,crewed,Crew_Count,Mission_Cost_USD_M,Cost_Per_kg,AI_Assisted,AI_Role,Cost_Efficiency,Mission_Complexity,Agency_Success_Rate
M0058,USA_AtlasV_L1959_006,1959,Space Race,Atlas V,USA,USA,Private,1,Comm Satellite,Comm Satellite,781.0,SSO,SSO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,117.9,150960,0,No AI Used in Mission,6.62,1.96,0.9441147378832839
M0059,USA_Antares_L1959_009,1959,Space Race,Antares,USA,USA,Government,0,Comm Satellite,Comm Satellite,3498.0,GEO,GEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,204.1,58347,0,No AI Used in Mission,17.14,5.539,0.9441147378832839
M0060,USSR_Soyuz_L1959_005,1959,Space Race,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,6351.0,GEO,GEO,Baikonur Site 1,0,0,Range Safety,0,0,0,0,111.8,17603,0,No AI Used in Mission,56.81,7.468999999999999,0.8824034334763948
M0061,USA_Antares_L1959_005,1959,Space Race,Antares,USA,USA,Private,1,Weather Satellite,Weather Satellite,7569.0,TLI,TLI,Kennedy LC-39A,1,1,No Failure,0,0,0,0,103.9,13727,0,No AI Used in Mission,72.85,8.608,0.9441147378832839
M0062,USA_FalconHeavy_L1959_004,1959,Space Race,Falcon Heavy,USA,USA,Government,0,Technology Demo,Technology Demo,4522.0,MEO,MEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,181.4,40115,0,No AI Used in Mission,24.93,6.336,0.9441147378832839
M0063,USSR_Soyuz_L1959_001,1959,Space Race,Soyuz,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,6794.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,92.4,13600,0,No AI Used in Mission,73.53,7.718,0.8824034334763948
M0064,USA_NewGlenn_L1959_008,1959,Space Race,New Glenn,USA,USA,Private,1,Navigation Sat,Navigation Sat,972.0,GTO,GTO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,73.7,75823,0,No AI Used in Mission,13.19,1.709,0.9441147378832839
M0065,USSR_Cosmos-3M_L1959_003,1959,Space Race,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,1996.0,GTO,GTO,Baikonur Site 1,1,1,No Failure,0,0,0,0,159.1,79709,0,No AI Used in Mission,12.55,3.5869999999999997,0.8824034334763948
M0066,USSR_Proton_L1959_004,1959,Space Race,Proton,USSR,USSR,Government,0,Resupply,Resupply,5085.0,MEO,MEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,66.6,13097,0,No AI Used in Mission,76.35,5.7509999999999994,0.8824034334763948
M0067,USSR_Cosmos-3M_L1959_002,1959,Space Race,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,1370.0,GTO,GTO,Baikonur LC-81,1,1,No Failure,0,0,0,0,84.7,61824,0,No AI Used in Mission,16.17,2.217,0.8824034334763948
M0068,USA_AtlasV_L1959_003,1959,Space Race,Atlas V,USA,USA,Government,0,Science Probe,Science Probe,6195.0,GEO,GEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,95.8,15464,0,No AI Used in Mission,64.67,7.1530000000000005,0.9441147378832839
M0069,USA_DeltaII_L1959_007,1959,Space Race,Delta II,USA,USA,Private,1,Navigation Sat,Navigation Sat,4617.0,Polar,Polar,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,106.4,23045,0,No AI Used in Mission,43.39,5.681,0.9441147378832839
M0070,USA_Antares_L1959_001,1959,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,6441.0,HEO,HEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,113.8,17668,0,No AI Used in Mission,56.6,7.579,0.9441147378832839
M0071,USA_Antares_L1960_005,1960,Space Race,Antares,USA,USA,Private,1,Military Sat,Military Sat,4202.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,127.1,30247,0,No AI Used in Mission,33.06,5.473,0.9441147378832839
M0072,USSR_Proton_L1960_001,1960,Space Race,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,2481.0,GTO,GTO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,163.7,65981,0,No AI Used in Mission,15.16,4.117999999999999,0.8824034334763948
M0073,USA_Antares_L1960_007,1960,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,495.0,MEO,MEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,195.9,395757,0,No AI Used in Mission,2.53,2.454,0.9441147378832839
M0074,USA_NewGlenn_L1960_010,1960,Space Race,New Glenn,USA,USA,Private,1,Resupply,Resupply,7344.0,GEO,GEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,67.4,9177,0,No AI Used in Mission,108.96,8.018,0.9441147378832839
M0075,USA_FalconHeavy_L1960_012,1960,Space Race,Falcon Heavy,USA,USA,Private,1,Military Sat,Military Sat,2912.0,GTO,GTO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,149.5,51339,0,No AI Used in Mission,19.48,4.407,0.9441147378832839
M0076,USSR_Zenit_L1960_007,1960,Space Race,Zenit,USSR,USSR,Government,0,Resupply,Resupply,5585.0,GEO,GEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,151.1,27054,0,No AI Used in Mission,36.96,7.096,0.8824034334763948
M0077,USA_AtlasV_L1960_004,1960,Space Race,Atlas V,USA,USA,Government,0,Science Probe,Science Probe,7488.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,81.5,10884,0,No AI Used in Mission,91.88,8.303,0.9441147378832839
M0078,USA_Antares_L1960_015,1960,Space Race,Antares,USA,USA,Private,1,Crew Module,Crew Module,5634.0,TLI,TLI,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,215.2,38196,0,No AI Used in Mission,26.18,7.786,0.9441147378832839
M0079,USA_NewGlenn_L1960_011,1960,Space Race,New Glenn,USA,USA,Government,0,Navigation Sat,Navigation Sat,393.0,SSO,SSO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,149.2,379643,0,No AI Used in Mission,2.63,1.885,0.9441147378832839
M0080,USA_FalconHeavy_L1960_002,1960,Space Race,Falcon Heavy,USA,USA,Government,0,Science Probe,Science Probe,4604.0,GEO,GEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,79.6,17289,0,No AI Used in Mission,57.84,5.4,0.9441147378832839
M0081,USA_AtlasV_L1960_001,1960,Space Race,Atlas V,USA,USA,Government,0,Resupply,Resupply,1272.0,HEO,HEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,140.2,110220,0,No AI Used in Mission,9.07,2.674,0.9441147378832839
M0082,USA_NewGlenn_L1960_008,1960,Space Race,New Glenn,USA,USA,Private,1,Crew Module,Crew Module,1920.0,LEO,LEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,181.4,94479,0,No AI Used in Mission,10.58,3.734,0.9441147378832839
M0083,USA_AtlasV_L1960_009,1960,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,7420.0,MEO,MEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,97.2,13099,0,No AI Used in Mission,76.34,8.392,0.9441147378832839
M0084,USSR_Soyuz_L1960_006,1960,Space Race,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,5074.0,MEO,MEO,Plesetsk LC-132,0,0,Upper Stage Failure,0,0,0,0,90.6,17855,0,No AI Used in Mission,56.0,5.9799999999999995,0.8824034334763948
M0085,USSR_Zenit_L1960_002,1960,Space Race,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,7788.0,LEO,LEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,143.2,18387,0,No AI Used in Mission,54.39,9.22,0.8824034334763948
M0086,USA_DeltaII_L1960_006,1960,Space Race,Delta II,USA,USA,Government,0,Technology Demo,Technology Demo,1523.0,MEO,MEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,177.9,116808,0,No AI Used in Mission,8.56,3.302,0.9441147378832839
M0087,USA_DeltaIV_L1960_013,1960,Space Race,Delta IV,USA,USA,Government,0,Crew Module,Crew Module,3774.0,TLI,TLI,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,153.3,40620,0,No AI Used in Mission,24.62,5.307,0.9441147378832839
M0088,USA_Antares_L1960_016,1960,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,1242.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,101.2,81481,0,No AI Used in Mission,12.27,2.254,0.9441147378832839
M0089,USSR_Cosmos-3M_L1960_003,1960,Space Race,Cosmos-3M,USSR,USSR,Government,0,Earth Observation,Earth Observation,3304.0,LEO,LEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,58.7,17766,0,No AI Used in Mission,56.29,3.891,0.8824034334763948
M0090,USA_DeltaIV_L1960_003,1960,Space Race,Delta IV,USA,USA,Private,1,Technology Demo,Technology Demo,5210.0,ISS,ISS,Kennedy LC-39A,1,1,No Failure,0,0,0,0,250.1,48003,0,No AI Used in Mission,20.83,7.711,0.9441147378832839
M0091,USSR_Molniya_L1960_005,1960,Space Race,Molniya,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,4985.0,LEO,LEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,170.3,34162,0,No AI Used in Mission,29.27,6.688000000000001,0.8824034334763948
M0092,USSR_Zenit_L1960_004,1960,Space Race,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,1755.0,Polar,Polar,Plesetsk LC-132,1,1,No Failure,0,0,0,0,139.9,79715,0,No AI Used in Mission,12.54,3.154,0.8824034334763948
M0093,USA_DeltaIV_L1960_014,1960,Space Race,Delta IV,USA,USA,Government,0,Military Sat,Military Sat,7782.0,LEO,LEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,204.2,26240,0,No AI Used in Mission,38.11,9.824,0.9441147378832839
M0094,USA_FalconHeavy_L1961_005,1961,Space Race,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,7629.0,ISS,ISS,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,126.1,16529,0,No AI Used in Mission,60.5,8.889999999999999,0.9441147378832839
M0095,USA_FalconHeavy_L1961_022,1961,Space Race,Falcon Heavy,USA,USA,Private,1,Weather Satellite,Weather Satellite,4121.0,HEO,HEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,100.9,24484,0,No AI Used in Mission,40.84,5.130000000000001,0.9441147378832839
M0096,USA_AtlasV_L1961_002,1961,Space Race,Atlas V,USA,USA,Private,1,Resupply,Resupply,7612.0,GTO,GTO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,228.5,30018,0,No AI Used in Mission,33.31,9.897,0.9441147378832839
M0097,USSR_Cosmos-3M_L1961_005,1961,Space Race,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,2198.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,95.3,43357,0,No AI Used in Mission,23.06,3.151,0.8824034334763948
M0098,USA_AtlasV_L1961_021,1961,Space Race,Atlas V,USA,USA,Private,1,Comm Satellite,Comm Satellite,646.0,HEO,HEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,163.3,252786,0,No AI Used in Mission,3.96,2.279,0.9441147378832839
M0099,USSR_Proton_L1961_002,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,6702.0,ISS,ISS,Baikonur Site 1,1,1,No Failure,0,0,0,0,234.1,34929,0,No AI Used in Mission,28.63,9.043,0.8824034334763948
M0100,USA_DeltaIV_L1961_023,1961,Space Race,Delta IV,USA,USA,Private,1,Science Probe,Science Probe,4926.0,Polar,Polar,Kennedy LC-39A,1,1,No Failure,0,0,0,0,109.2,22168,0,No AI Used in Mission,45.11,6.018000000000001,0.9441147378832839
M038,Vostok 1 (Gagarin),1961,Space Race,Unknown Name,USSR,OKB-1,Government,0,Crewed Orbital,Crew Capsule,4725.0,LEO,LEO,Baikonur Site 1,1,1,No Failure,0,0,1,1,131.8,34009,0,No AI Used in Mission,35.85,8.043,1.0
M0101,USA_DeltaIV_L1961_025,1961,Space Race,Delta IV,USA,USA,Government,0,Comm Satellite,Comm Satellite,5194.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,149.6,28802,0,No AI Used in Mission,34.72,6.6899999999999995,0.9441147378832839
M0102,USA_AtlasV_L1961_016,1961,Space Race,Atlas V,USA,USA,Private,1,Navigation Sat,Navigation Sat,6098.0,GEO,GEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,127.3,20875,0,No AI Used in Mission,47.9,7.3709999999999996,0.9441147378832839
M0103,USA_DeltaII_L1961_019,1961,Space Race,Delta II,USA,USA,Private,1,Military Sat,Military Sat,7989.0,GEO,GEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,138.3,17311,0,No AI Used in Mission,57.77,9.372,0.9441147378832839
M0104,USSR_Zenit_L1961_003,1961,Space Race,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,6904.0,TLI,TLI,Baikonur Site 1,1,1,No Failure,0,0,0,0,167.1,24203,0,No AI Used in Mission,41.32,8.575,0.8824034334763948
M0105,USA_DeltaII_L1961_018,1961,Space Race,Delta II,USA,USA,Government,0,Military Sat,Military Sat,2909.0,GTO,GTO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,111.2,38226,0,No AI Used in Mission,26.16,4.021,0.9441147378832839
M0106,USA_AtlasV_L1961_028,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,6971.0,MEO,MEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,59.3,8506,0,No AI Used in Mission,117.55,7.564,0.9441147378832839
M0107,USSR_Proton_L1961_008,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2323.0,Polar,Polar,Plesetsk LC-132,1,1,No Failure,0,0,0,0,212.8,91605,0,No AI Used in Mission,10.92,4.4510000000000005,0.8824034334763948
M0108,USA_NewGlenn_L1961_020,1961,Space Race,New Glenn,USA,USA,Private,1,Technology Demo,Technology Demo,1023.0,ISS,ISS,Kennedy LC-39A,1,1,No Failure,0,0,0,0,160.2,156598,0,No AI Used in Mission,6.39,2.625,0.9441147378832839
M0109,USA_NewGlenn_L1961_015,1961,Space Race,New Glenn,USA,USA,Private,1,Earth Observation,Earth Observation,4194.0,TLI,TLI,Kennedy LC-39A,1,1,No Failure,0,0,0,0,112.9,26919,0,No AI Used in Mission,37.15,5.323,0.9441147378832839
M0110,USSR_Proton_L1961_009,1961,Space Race,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,834.0,HEO,HEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,138.2,165707,0,No AI Used in Mission,6.03,2.2159999999999997,0.8824034334763948
M0111,USA_NewGlenn_L1961_011,1961,Space Race,New Glenn,USA,USA,Private,1,Science Probe,Science Probe,6722.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,246.7,36700,0,No AI Used in Mission,27.25,9.189,0.9441147378832839
M0112,USA_AtlasV_L1961_006,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,3305.0,LEO,LEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,107.8,32617,0,No AI Used in Mission,30.66,4.383,0.9441147378832839
M0113,USA_Antares_L1961_012,1961,Space Race,Antares,USA,USA,Private,1,Comm Satellite,Comm Satellite,7159.0,TLI,TLI,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,123.9,17306,0,No AI Used in Mission,57.78,8.398,0.9441147378832839
M0114,USA_AtlasV_L1961_001,1961,Space Race,Atlas V,USA,USA,Private,1,Resupply,Resupply,5884.0,SSO,SSO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,69.2,11760,0,No AI Used in Mission,85.03,6.5760000000000005,0.9441147378832839
M0115,USSR_Soyuz_L1961_004,1961,Space Race,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,5207.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,134.4,25811,0,No AI Used in Mission,38.74,6.551,0.8824034334763948
M0116,USA_Falcon9_L1961_010,1961,Space Race,Falcon 9,USA,USA,Government,0,Technology Demo,Technology Demo,4916.0,LEO,LEO,Cape Canaveral SLC-40,0,0,Engine Failure,0,0,0,0,212.2,43165,0,No AI Used in Mission,23.17,7.038,0.9441147378832839
M0117,USA_DeltaIV_L1961_004,1961,Space Race,Delta IV,USA,USA,Government,0,Comm Satellite,Comm Satellite,3385.0,Polar,Polar,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,125.8,37164,0,No AI Used in Mission,26.91,4.643,0.9441147378832839
M0118,USSR_Zenit_L1961_007,1961,Space Race,Zenit,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,5218.0,TLI,TLI,Plesetsk LC-132,1,1,No Failure,0,0,0,0,230.6,44193,0,No AI Used in Mission,22.63,7.524,0.8824034334763948
M0119,USA_Antares_L1961_029,1961,Space Race,Antares,USA,USA,Government,0,Resupply,Resupply,7922.0,HEO,HEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,105.8,13355,0,No AI Used in Mission,74.88,8.98,0.9441147378832839
M0120,USSR_Zenit_L1961_006,1961,Space Race,Zenit,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,4766.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,122.8,25765,0,No AI Used in Mission,38.81,5.994,0.8824034334763948
M0121,USA_Antares_L1961_013,1961,Space Race,Antares,USA,USA,Private,1,Technology Demo,Technology Demo,5245.0,ISS,ISS,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,186.4,35538,0,No AI Used in Mission,28.14,7.109,0.9441147378832839
M0122,USA_AtlasV_L1961_026,1961,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,4721.0,SSO,SSO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,49.5,10485,0,No AI Used in Mission,95.37,5.216,0.9441147378832839
M0123,USA_NewGlenn_L1961_007,1961,Space Race,New Glenn,USA,USA,Private,1,Technology Demo,Technology Demo,7039.0,GTO,GTO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,51.0,7245,0,No AI Used in Mission,138.02,7.5489999999999995,0.9441147378832839
M0124,USA_Falcon9_L1961_024,1961,Space Race,Falcon 9,USA,USA,Private,1,Resupply,Resupply,5166.0,ISS,ISS,Vandenberg SLC-4E,0,0,Range Safety,0,0,0,0,162.5,31455,0,No AI Used in Mission,31.79,6.791,0.9441147378832839
M0125,USA_DeltaII_L1961_003,1961,Space Race,Delta II,USA,USA,Government,0,Resupply,Resupply,7191.0,HEO,HEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,237.5,33027,0,No AI Used in Mission,30.28,9.565999999999999,0.9441147378832839
M0126,USA_NewGlenn_L1961_008,1961,Space Race,New Glenn,USA,USA,Government,0,Comm Satellite,Comm Satellite,7979.0,LEO,LEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,121.8,15265,0,No AI Used in Mission,65.51,9.197,0.9441147378832839
M0127,USA_Falcon9_L1961_009,1961,Space Race,Falcon 9,USA,USA,Government,0,Weather Satellite,Weather Satellite,5930.0,SSO,SSO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,91.9,15497,0,No AI Used in Mission,64.53,6.849,0.9441147378832839
M0128,USA_AtlasV_L1961_014,1961,Space Race,Atlas V,USA,USA,Private,1,Technology Demo,Technology Demo,7422.0,GEO,GEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,150.9,20331,0,No AI Used in Mission,49.18,8.931,0.9441147378832839
M0129,USSR_Soyuz_L1961_001,1961,Space Race,Soyuz,USSR,USSR,Government,0,Technology Demo,Technology Demo,1921.0,HEO,HEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,132.9,69182,0,No AI Used in Mission,14.45,3.25,0.8824034334763948
M0130,USA_Falcon9_L1961_017,1961,Space Race,Falcon 9,USA,USA,Private,1,Technology Demo,Technology Demo,2015.0,GEO,GEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,101.5,50372,0,No AI Used in Mission,19.85,3.0300000000000002,0.9441147378832839
M0131,USA_DeltaII_L1961_027,1961,Space Race,Delta II,USA,USA,Government,0,Weather Satellite,Weather Satellite,783.0,HEO,HEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,210.4,268710,0,No AI Used in Mission,3.72,2.887,0.9441147378832839
M0132,USA_DeltaIV_L1962_041,1962,Space Race,Delta IV,USA,USA,Private,1,Crew Module,Crew Module,6051.0,GEO,GEO,Cape Canaveral SLC-40,0,0,Range Safety,0,0,0,0,82.7,13667,0,No AI Used in Mission,73.17,6.878,0.9441147378832839
M0133,USA_FalconHeavy_L1962_018,1962,Space Race,Falcon Heavy,USA,USA,Private,1,Military Sat,Military Sat,2670.0,LEO,LEO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,170.7,63932,0,No AI Used in Mission,15.64,4.377,0.9441147378832839
M0134,USA_DeltaIV_L1962_019,1962,Space Race,Delta IV,USA,USA,Private,1,Science Probe,Science Probe,7566.0,Polar,Polar,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,80.3,10613,0,No AI Used in Mission,94.22,8.369,0.9441147378832839
M0135,USSR_Zenit_L1962_007,1962,Space Race,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,2745.0,SSO,SSO,Baikonur Site 1,1,1,No Failure,0,0,0,0,149.0,54280,0,No AI Used in Mission,18.42,4.235,0.8824034334763948
M0136,USA_AtlasV_L1962_052,1962,Space Race,Atlas V,USA,USA,Private,1,Weather Satellite,Weather Satellite,7616.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,169.0,22190,0,No AI Used in Mission,45.07,9.306,0.9441147378832839
M0137,USA_AtlasV_L1962_021,1962,Space Race,Atlas V,USA,USA,Private,1,Crew Module,Crew Module,6978.0,GTO,GTO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,122.4,17540,0,No AI Used in Mission,57.01,8.202,0.9441147378832839
M0138,USA_Antares_L1962_032,1962,Space Race,Antares,USA,USA,Government,0,Military Sat,Military Sat,4777.0,SSO,SSO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,223.4,46765,0,No AI Used in Mission,21.38,7.011,0.9441147378832839
M0139,USSR_Cosmos-3M_L1962_014,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Earth Observation,Earth Observation,3558.0,LEO,LEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,250.9,70517,0,No AI Used in Mission,14.18,6.067,0.8824034334763948
M0140,USA_Falcon9_L1962_039,1962,Space Race,Falcon 9,USA,USA,Private,1,Technology Demo,Technology Demo,828.0,TLI,TLI,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,208.0,251207,0,No AI Used in Mission,3.98,2.908,0.9441147378832839
M0141,USSR_Cosmos-3M_L1962_018,1962,Space Race,Cosmos-3M,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,4551.0,MEO,MEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,138.5,30432,0,No AI Used in Mission,32.86,5.936,0.8824034334763948
M0142,USSR_Soyuz_L1962_003,1962,Space Race,Soyuz,USSR,USSR,Government,0,Crew Module,Crew Module,3545.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,124.7,35176,0,No AI Used in Mission,28.43,4.792,0.8824034334763948
M0143,USA_Falcon9_L1962_010,1962,Space Race,Falcon 9,USA,USA,Private,1,Weather Satellite,Weather Satellite,1151.0,HEO,HEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,97.2,84448,0,No AI Used in Mission,11.84,2.123,0.9441147378832839
M0144,USA_AtlasV_L1962_048,1962,Space Race,Atlas V,USA,USA,Private,1,Earth Observation,Earth Observation,7010.0,MEO,MEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,178.6,25477,0,No AI Used in Mission,39.25,8.796,0.9441147378832839
